 comment_id | article_id |                                                                                                                                                                                 body                                                                                                                                                                                 | votes |    author    |     created_at      
------------+------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+--------------+---------------------
          1 |         18 | Itaque quisquam est similique et est perspiciatis reprehenderit voluptatem autem. Voluptatem accusantium eius error adipisci quibusdam doloribus.                                                                                                                                                                                                                    |    -1 | tickle122    | 2020-05-21 23:19:00
          5 |         17 | Quod qui quia dignissimos sit tempore vel reprehenderit. Ipsa ipsa veritatis architecto corporis et et non. Sed alias occaecati eum dignissimos sint eius. Ad ea iste quas quia velit libero voluptatem voluptatem. Animi illo nisi nulla quia sapiente omnis dolorem nulla. Sunt dolor similique.                                                                   |    -5 | weegembump   | 2020-04-03 21:17:00
          6 |         35 | Veritatis animi et voluptates nesciunt officia facere eaque. Eligendi earum explicabo necessitatibus aut dolorem nisi esse nesciunt. Non iusto rem ut consequuntur quam ut rem sed. Velit laboriosam consectetur enim delectus eos sit veritatis eveniet perspiciatis.                                                                                               |    -5 | grumpy19     | 2020-07-16 09:16:00
          9 |         19 | Ea iure voluptas. Esse vero et dignissimos blanditiis commodi rerum dicta omnis modi.                                                                                                                                                                                                                                                                                |    -1 | cooljmessy   | 2020-01-04 05:14:00
         14 |          4 | Iure quas est omnis porro. Est in est distinctio sequi consectetur rerum deserunt. Et et reiciendis. Consequatur distinctio sint porro neque molestiae.                                                                                                                                                                                                              |    -4 | weegembump   | 2020-08-14 14:09:00
         19 |         28 | Id adipisci saepe dolorum et veritatis qui et voluptatibus. Error consequuntur architecto consequatur assumenda rerum similique quo. Quas omnis quam labore exercitationem pariatur veniam assumenda. Tempore maiores rerum. Eum voluptates non repudiandae magnam illo voluptatum. Qui praesentium asperiores rerum vel.                                            |    -3 | tickle122    | 2020-06-19 16:03:00
         29 |         36 | Perferendis quia et nihil. Quasi ut voluptates sapiente et accusantium vel qui reprehenderit ratione. Autem alias voluptatem accusamus nesciunt beatae vero. Itaque repellat omnis et velit cum corporis aut id voluptas. Nostrum unde fuga ea. Perferendis quas maiores.                                                                                            |    -2 | jessjelly    | 2020-09-13 07:23:00
         35 |         19 | Accusamus error recusandae iure. Omnis ab aut id. Nihil perspiciatis aut unde recusandae voluptatum placeat.                                                                                                                                                                                                                                                         |    -2 | happyamy2016 | 2020-06-07 08:10:00
         43 |          8 | Ipsam quis ad consequatur iure voluptas accusantium voluptatem unde. Cumque omnis mollitia natus nemo deleniti rerum enim cumque aut. Quod quis est fuga.                                                                                                                                                                                                            |    -2 | grumpy19     | 2020-01-18 08:17:00
         46 |         26 | Non sunt quos aut facere. Corporis molestiae aut soluta aut rerum animi voluptatibus.                                                                                                                                                                                                                                                                                |    -3 | weegembump   | 2020-10-05 07:05:00
         51 |          3 | Eius dolor ipsa eaque qui sed accusantium est tenetur omnis. Eligendi necessitatibus sunt voluptate occaecati et quis consequuntur aut. Maxime nihil ut quia culpa.                                                                                                                                                                                                  |    -3 | grumpy19     | 2020-01-14 03:12:00
         55 |          6 | Ut et libero reiciendis. Tenetur quibusdam veniam in atque corrupti excepturi tenetur qui et. Qui ut autem minus aut explicabo in cumque dolorum. Voluptatem est perferendis velit. Eaque doloremque asperiores error.                                                                                                                                               |    -3 | jessjelly    | 2020-01-16 23:20:00
         63 |          2 | Est pariatur quis ipsa culpa unde temporibus et accusantium rerum. Consequatur in occaecati aut non similique aut quibusdam. Qui sunt magnam iure blanditiis. Et est non enim. Est ab vero dolor.                                                                                                                                                                    |    -1 | jessjelly    | 2020-08-12 23:10:00
         64 |          6 | Ad qui ut enim qui numquam quis. Reprehenderit rem non nulla dolor aut totam corporis illo. Et ea maxime consequuntur nihil delectus dolores qui in aliquam. Ut et eius id nesciunt necessitatibus beatae quo. Est qui provident officia in dolor. Assumenda voluptas dolor.                                                                                         |    -5 | grumpy19     | 2020-09-23 09:15:00
         69 |         23 | Totam et dolor magnam et voluptatum. A in adipisci.                                                                                                                                                                                                                                                                                                                  |    -1 | tickle122    | 2020-08-14 13:08:00
